agency_nbr,agency,status
749,Lake in the Hills Police Dept,Active
750,Lake Land College,Active
751,Lake Springfield Police Dept,Inactive
752,Lake Villa Police Dept,Active
753,Lake Zurich Police Dept,Active
754,Lakemoor Police Dept,Active
755,Lakewood Police Dept,Active
756,Lanark Police Dept,Active
757,Lansing Police Dept,Active
758,LaSalle Co Circuit Clerk,Active
759,LaSalle Co Coroner's Office,Inactive
760,LaSalle Co State's Attorney,Active
761,LaSalle County Sheriff's Office,Active
762,LaSalle Police Dept,Active
763,Lawrence Co Circuit Clerk,Active
764,Lawrence Co Coroner's Office,Inactive
765,Lawrence Co State's Attorney,Active
766,Lawrence County Sheriff's Office,Active
767,Lawrenceville Police Dept,Active
768,Leaf River Police Dept,Inactive
769,Lebanon Police Dept,Active
770,Lee Co Circuit Clerk,Active
771,Lee Co Coroner's Office,Inactive
772,Lee Co State's Attorney,Active
773,Lee County Sheriff's Office,Active
774,Leland Grove Police Dept,Active
775,Leland Police Dept,Active
776,Lemont Police Dept,Active
777,Lena  Police Dept,Active
778,Lenzburg Police Dept,Active
779,LeRoy Police Dept,Active
780,Lewis and Clark Comm College,Inactive
781,Lewis University Police Department,Active
782,Lewistown Police Dept,Active
783,Lexington Police Dept,Active
784,Liberty Police Dept,Active
785,Libertyville Police Dept,Active
786,Lincoln Land Community College,Active
787,Lincoln Police Dept,Active
788,Lincolnshire Police Dept,Active
789,Lincolnwood Police Dept,Active
790,Lindenhurst Police Dept,Active
791,Lisle Police Dept,Active
792,Litchfield Police Dept,Active
793,Livingston Co Circuit Clerk,Active
794,Livingston Co Coroner's Office,Inactive
795,Livingston Co State's Attorney,Active
796,Livingston County Sheriff's Office,Active
797,Livingston Police Dept,Active
798,Loami Police Dept,Active
799,Lockport Police Dept,Active
800,Lockport Township Park Dist Police,Active
801,Logan Co Circuit Clerk,Active
802,Logan Co Coroner's Office,Inactive
803,Logan Co State's Attorney,Inactive
